"filename", "language", "PHP", "comment", "blank", "total"
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Console/Commands/ResetUsersWebhooks.php", "PHP", 43, 13, 9, 65
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Console/Commands/SyncDiscountBlueprintToShopify.php", "PHP", 40, 13, 7, 60
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Console/Commands/SyncLoyaltyRuleToShopify.php", "PHP", 40, 13, 7, 60
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Console/Kernel.php", "PHP", 15, 7, 6, 28
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Enums/CollectionStatus.php", "PHP", 7, 0, 3, 10
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Enums/DiscountApplicationType.php", "PHP", 7, 0, 3, 10
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Enums/DiscountBlueprintStatus.php", "PHP", 7, 0, 3, 10
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Enums/DiscountType.php", "PHP", 7, 0, 3, 10
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Enums/LoyaltyRuleApplicationType.php", "PHP", 7, 0, 3, 10
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Enums/LoyaltyRuleStatus.php", "PHP", 7, 0, 3, 10
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Enums/ProductStatus.php", "PHP", 7, 0, 3, 10
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Enums/ShopifyType.php", "PHP", 14, 0, 2, 16
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Exceptions/Handler.php", "PHP", 21, 21, 7, 49
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Exceptions/ShopifyGraphqlException.php", "PHP", 35, 19, 10, 64
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Exceptions/ShopifyGraphqlUserError.php", "PHP", 24, 13, 9, 46
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/CollectionController.php", "PHP", 42, 25, 10, 77
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/DiscountBlueprintController.php", "PHP", 51, 25, 11, 87
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/LoyaltyRuleController.php", "PHP", 51, 24, 12, 87
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/Merchant/CustomerController.php", "PHP", 18, 7, 4, 29
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/Merchant/CustomerDiscountController.php", "PHP", 49, 13, 12, 74
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/Merchant/ProductController.php", "PHP", 23, 7, 9, 39
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/ProductController.php", "PHP", 45, 25, 10, 80
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/Shopify/CollectionController.php", "PHP", 16, 6, 4, 26
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/Shopify/ProductController.php", "PHP", 32, 16, 8, 56
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/API/UserController.php", "PHP", 12, 7, 4, 23
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/Controller.php", "PHP", 9, 0, 4, 13
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Controllers/HomeController.php", "PHP", 24, 7, 5, 36
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Kernel.php", "PHP", 40, 21, 7, 68
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Middleware/Authenticate.php", "PHP", 11, 3, 4, 18
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Middleware/EncryptCookies.php", "PHP", 8, 6, 4, 18
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Middleware/PreventRequestsDuringMaintenance.php", "PHP", 8, 6, 4, 18
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Middleware/RedirectIfAuthenticated.php", "PHP", 20, 5, 6, 31
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Middleware/TrimStrings.php", "PHP", 11, 5, 4, 20
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Middleware/TrustHosts.php", "PHP", 12, 5, 4, 21
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Middleware/TrustProxies.php", "PHP", 14, 10, 5, 29
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Middleware/ValidateSignature.php", "PHP", 8, 11, 4, 23
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Middleware/VerifyCsrfToken.php", "PHP", 8, 6, 4, 18
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/CollectionIndexRequest.php", "PHP", 51, 11, 12, 74
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/CollectionStoreRequest.php", "PHP", 19, 8, 5, 32
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/CollectionUpdateRequest.php", "PHP", 18, 8, 5, 31
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/DiscountBlueprintIndexRequest.php", "PHP", 52, 11, 12, 75
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/DiscountBlueprintStoreRequest.php", "PHP", 31, 8, 5, 44
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/DiscountBlueprintUpdateRequest.php", "PHP", 28, 8, 5, 41
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/LoyaltyRuleIndexRequest.php", "PHP", 58, 11, 12, 81
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/LoyaltyRuleStoreRequest.php", "PHP", 25, 8, 5, 38
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/LoyaltyRuleUpdateRequest.php", "PHP", 23, 8, 5, 36
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/Merchant/CustomerDiscountIndexRequest.php", "PHP", 17, 8, 5, 30
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/Merchant/CustomerDiscountRedeemRequest.php", "PHP", 18, 8, 5, 31
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/Merchant/CustomerGetRequest.php", "PHP", 17, 8, 5, 30
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/Merchant/GetProductLoyaltyInfoRequest.php", "PHP", 17, 8, 5, 30
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/ProductIndexRequest.php", "PHP", 53, 11, 12, 76
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/ProductStoreRequest.php", "PHP", 19, 8, 5, 32
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/ProductUpdateRequest.php", "PHP", 18, 8, 5, 31
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/ShopifyCollectionIndexRequest.php", "PHP", 47, 12, 11, 70
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/ShopifyProductIndexRequest.php", "PHP", 46, 12, 10, 68
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Requests/ShopifyResourceIndexRequest.php", "PHP", 32, 20, 10, 62
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Resources/ShopifyResource.php", "PHP", 79, 18, 22, 119
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Http/Resources/UserResource.php", "PHP", 68, 5, 4, 77
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Jobs/AppUninstalledJob.php", "PHP", 5, 0, 3, 8
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Jobs/OrdersUpdatedJob.php", "PHP", 87, 30, 21, 138
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Jobs/UpdateShopProfile.php", "PHP", 26, 12, 7, 45
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Models/Collection.php", "PHP", 34, 23, 10, 67
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Models/Customer.php", "PHP", 28, 20, 8, 56
"/home/hai/code/loyalty-point-app/scaffolding-api-2023/app/Models/Discount.php", "PHP", 32, 16, 9, 57
